Date/time, year, month, day, hour, minute, seconds, decimal year, Temp, units

7/20/19 10:45:00 AM, 2019, 7, 20, 10, 45, 0, 2019.5491723744292, 19.5, C
7/20/19 3:00:00 PM, 2019, 7, 20, 15, 0, 0, 2019.5496575342465, 19.5, C
7/20/19 7:15:00 PM, 2019, 7, 20, 19, 15, 0, 2019.5501426940639, 21.0, C
7/20/19 11:30:00 PM, 2019, 7, 20, 23, 30, 0, 2019.5506278538812, 21.0, C
7/21/19 3:45:00 AM, 2019, 7, 21, 3, 45, 0, 2019.5511130136986, 21.0, C
7/21/19 8:00:00 AM, 2019, 7, 21, 8, 0, 0, 2019.551598173516, 21.0, C
7/21/19 12:15:00 PM, 2019, 7, 21, 12, 15, 0, 2019.5520833333333, 23.5, C
7/21/19 4:30:00 PM, 2019, 7, 21, 16, 30, 0, 2019.5525684931506, 30.5, C
7/21/19 8:45:00 PM, 2019, 7, 21, 20, 45, 0, 2019.553053652968, 19.0, C
7/22/19 1:00:00 AM, 2019, 7, 22, 1, 0, 0, 2019.5535388127853, 12.5, C
7/22/19 5:15:00 AM, 2019, 7, 22, 5, 15, 0, 2019.5540239726026, 10.5, C
7/22/19 9:30:00 AM, 2019, 7, 22, 9, 30, 0, 2019.55450913242, 20.0, C
7/22/19 1:45:00 PM, 2019, 7, 22, 13, 45, 0, 2019.5549942922376, 21.0, C
7/22/19 6:00:00 PM, 2019, 7, 22, 18, 0, 0, 2019.555479452055, 24.5, C
7/22/19 10:15:00 PM, 2019, 7, 22, 22, 15, 0, 2019.5559646118722, 16.0, C
7/23/19 2:30:00 AM, 2019, 7, 23, 2, 30, 0, 2019.5564497716896, 12.0, C
7/23/19 6:45:00 AM, 2019, 7, 23, 6, 45, 0, 2019.556934931507, 10.0, C
7/23/19 11:00:00 AM, 2019, 7, 23, 11, 0, 0, 2019.5574200913243, 12.0, C
7/23/19 3:15:00 PM, 2019, 7, 23, 15, 15, 0, 2019.5579052511416, 21.5, C
7/23/19 7:30:00 PM, 2019, 7, 23, 19, 30, 0, 2019.558390410959, 16.5, C
7/23/19 11:45:00 PM, 2019, 7, 23, 23, 45, 0, 2019.5588755707763, 12.5, C
7/24/19 4:00:00 AM, 2019, 7, 24, 4, 0, 0, 2019.5593607305937, 10.0, C
7/24/19 8:15:00 AM, 2019, 7, 24, 8, 15, 0, 2019.559845890411, 9.5, C
7/24/19 12:30:00 PM, 2019, 7, 24, 12, 30, 0, 2019.5603310502283, 11.0, C
7/24/19 4:45:00 PM, 2019, 7, 24, 16, 45, 0, 2019.5608162100457, 11.5, C
7/24/19 9:00:00 PM, 2019, 7, 24, 21, 0, 0, 2019.561301369863, 12.5, C
7/25/19 1:15:00 AM, 2019, 7, 25, 1, 15, 0, 2019.5617865296804, 8.5, C
7/25/19 5:30:00 AM, 2019, 7, 25, 5, 30, 0, 2019.5622716894977, 7.0, C
7/25/19 9:45:00 AM, 2019, 7, 25, 9, 45, 0, 2019.562756849315, 7.5, C
7/25/19 2:00:00 PM, 2019, 7, 25, 14, 0, 0, 2019.5632420091324, 18.0, C
7/25/19 6:15:00 PM, 2019, 7, 25, 18, 15, 0, 2019.5637271689498, 23.0, C
7/25/19 10:30:00 PM, 2019, 7, 25, 22, 30, 0, 2019.564212328767, 15.0, C
7/26/19 2:45:00 AM, 2019, 7, 26, 2, 45, 0, 2019.5646974885844, 11.5, C
7/26/19 7:00:00 AM, 2019, 7, 26, 7, 0, 0, 2019.5651826484018, 10.0, C
7/26/19 11:15:00 AM, 2019, 7, 26, 11, 15, 0, 2019.5656678082191, 11.5, C
7/26/19 3:30:00 PM, 2019, 7, 26, 15, 30, 0, 2019.5661529680365, 23.0, C
7/26/19 7:45:00 PM, 2019, 7, 26, 19, 45, 0, 2019.5666381278538, 21.5, C
7/27/19 12:00:00 AM, 2019, 7, 27, 0, 0, 0, 2019.5671232876712, 15.0, C
7/27/19 4:15:00 AM, 2019, 7, 27, 4, 15, 0, 2019.5676084474885, 13.0, C
7/27/19 8:30:00 AM, 2019, 7, 27, 8, 30, 0, 2019.5680936073059, 12.0, C
7/27/19 12:45:00 PM, 2019, 7, 27, 12, 45, 0, 2019.5685787671232, 15.5, C
7/27/19 5:00:00 PM, 2019, 7, 27, 17, 0, 0, 2019.5690639269405, 15.0, C
7/27/19 9:15:00 PM, 2019, 7, 27, 21, 15, 0, 2019.569549086758, 12.5, C
7/28/19 1:30:00 AM, 2019, 7, 28, 1, 30, 0, 2019.5700342465752, 9.0, C
7/28/19 5:45:00 AM, 2019, 7, 28, 5, 45, 0, 2019.5705194063928, 7.5, C
7/28/19 10:00:00 AM, 2019, 7, 28, 10, 0, 0, 2019.5710045662101, 8.0, C
7/28/19 2:15:00 PM, 2019, 7, 28, 14, 15, 0, 2019.5714897260275, 19.5, C
7/28/19 6:30:00 PM, 2019, 7, 28, 18, 30, 0, 2019.5719748858448, 24.0, C
7/28/19 10:45:00 PM, 2019, 7, 28, 22, 45, 0, 2019.5724600456622, 15.0, C
7/29/19 3:00:00 AM, 2019, 7, 29, 3, 0, 0, 2019.5729452054795, 11.0, C
7/29/19 7:15:00 AM, 2019, 7, 29, 7, 15, 0, 2019.5734303652969, 10.0, C
7/29/19 11:30:00 AM, 2019, 7, 29, 11, 30, 0, 2019.5739155251142, 12.0, C
7/29/19 3:45:00 PM, 2019, 7, 29, 15, 45, 0, 2019.5744006849316, 23.0, C
7/29/19 8:00:00 PM, 2019, 7, 29, 20, 0, 0, 2019.574885844749, 21.5, C
7/30/19 12:15:00 AM, 2019, 7, 30, 0, 15, 0, 2019.5753710045663, 14.0, C
7/30/19 4:30:00 AM, 2019, 7, 30, 4, 30, 0, 2019.5758561643836, 11.5, C
7/30/19 8:45:00 AM, 2019, 7, 30, 8, 45, 0, 2019.576341324201, 11.5, C
7/30/19 1:00:00 PM, 2019, 7, 30, 13, 0, 0, 2019.5768264840183, 14.5, C
7/30/19 5:15:00 PM, 2019, 7, 30, 17, 15, 0, 2019.5773116438356, 22.0, C
7/30/19 9:30:00 PM, 2019, 7, 30, 21, 30, 0, 2019.577796803653, 16.0, C
7/31/19 1:45:00 AM, 2019, 7, 31, 1, 45, 0, 2019.5782819634703, 13.0, C
7/31/19 6:00:00 AM, 2019, 7, 31, 6, 0, 0, 2019.5787671232877, 12.0, C
7/31/19 10:15:00 AM, 2019, 7, 31, 10, 15, 0, 2019.579252283105, 13.0, C
7/31/19 2:30:00 PM, 2019, 7, 31, 14, 30, 0, 2019.5797374429224, 18.0, C
7/31/19 6:45:00 PM, 2019, 7, 31, 18, 45, 0, 2019.5802226027397, 21.5, C
7/31/19 11:00:00 PM, 2019, 7, 31, 23, 0, 0, 2019.580707762557, 14.5, C
8/1/19 3:15:00 AM, 2019, 8, 1, 3, 15, 0, 2019.5811929223744, 12.0, C
8/1/19 7:30:00 AM, 2019, 8, 1, 7, 30, 0, 2019.5816780821917, 11.5, C
8/1/19 11:45:00 AM, 2019, 8, 1, 11, 45, 0, 2019.582163242009, 14.5, C
8/1/19 4:00:00 PM, 2019, 8, 1, 16, 0, 0, 2019.5826484018264, 19.0, C
8/1/19 8:15:00 PM, 2019, 8, 1, 20, 15, 0, 2019.5831335616438, 18.5, C
8/2/19 12:30:00 AM, 2019, 8, 2, 0, 30, 0, 2019.583618721461, 14.0, C
8/2/19 4:45:00 AM, 2019, 8, 2, 4, 45, 0, 2019.5841038812785, 12.5, C
8/2/19 9:00:00 AM, 2019, 8, 2, 9, 0, 0, 2019.5845890410958, 12.0, C
8/2/19 1:15:00 PM, 2019, 8, 2, 13, 15, 0, 2019.5850742009131, 16.5, C
8/2/19 5:30:00 PM, 2019, 8, 2, 17, 30, 0, 2019.5855593607305, 18.5, C
8/2/19 9:45:00 PM, 2019, 8, 2, 21, 45, 0, 2019.586044520548, 13.5, C
8/3/19 2:00:00 AM, 2019, 8, 3, 2, 0, 0, 2019.5865296803654, 10.0, C
8/3/19 6:15:00 AM, 2019, 8, 3, 6, 15, 0, 2019.5870148401827, 8.0, C
